Nitrogen,Phosphorus,Potassium,Moisture,Temperature,Conductivity,pH,Label
1.379,0.773,0.946,23.983,34.845,0.511,5.844,Red Soil
1.042,0.829,1.309,19.266,27.406,0.389,6.194,Red Soil
1.369,1.331,0.707,24.13,30.918,0.594,5.84,Red Soil
0.901,1.15,1.173,21.053,26.157,0.332,5.76,Red Soil
1.294,0.903,1.413,27.182,33.681,0.308,6.5,Red Soil
0.963,0.755,0.834,22.756,28.306,0.371,6.22,Red Soil
1.383,1.199,0.768,25.529,31.772,0.549,6.611,Red Soil
0.828,0.98,1.046,20.418,29.136,0.422,6.37,Red Soil
1.297,0.729,1.25,23.644,30.957,0.493,6.376,Red Soil
1.069,1.275,0.782,26.968,34.321,0.319,6.022,Red Soil
0.784,1.374,1.321,18.787,26.89,0.283,5.721,Red Soil
1.406,0.871,0.904,20.605,28.438,0.498,6.661,Red Soil
1.013,1.421,1.046,24.99,32.504,0.383,6.297,Red Soil
0.798,0.986,1.136,23.142,29.685,0.307,6.345,Red Soil
1.372,1.108,0.797,19.889,27.874,0.458,5.85,Red Soil
1.085,1.338,1.287,26.275,34.582,0.339,6.024,Red Soil
0.915,1.06,0.74,21.387,25.998,0.302,5.937,Red Soil
1.329,0.727,1.288,25.436,30.242,0.563,5.825,Red Soil
0.874,1.442,0.895,22.768,32.807,0.33,5.964,Red Soil
1.303,0.812,1.108,27.239,33.245,0.346,6.693,Red Soil
0.921,0.729,0.797,24.005,28.458,0.31,6.329,Red Soil
1.29,1.497,1.24,19.542,27.265,0.427,6.572,Red Soil
1.067,1.258,1.389,21.721,32.713,0.535,6.034,Red Soil
1.312,1.224,1.428,24.669,29.957,0.479,5.897,Red Soil
0.905,0.697,0.935,20.384,26.732,0.396,5.722,Red Soil
1.54,1.506,1.59,18.267,25.845,0.547,6.256,Red Soil
1.043,0.952,1.372,25.013,30.564,0.542,6.384,Red Soil
0.637,1.284,0.986,22.702,27.829,0.332,5.825,Red Soil
1.472,0.763,1.237,26.458,32.148,0.257,6.145,Red Soil
0.834,1.561,1.473,19.41,26.991,0.429,5.908,Red Soil
1.199,1.492,1.582,23.893,31.401,0.499,6.372,Red Soil
1.049,0.736,0.84,21.324,28.965,0.364,6.618,Red Soil
1.569,1.2,0.565,24.31,29.322,0.228,5.875,Red Soil
0.705,1.007,0.702,17.782,25.512,0.356,6.446,Red Soil
1.136,0.618,1.04,25.698,32.754,0.57,6.665,Red Soil
0.813,1.272,1.254,21.971,26.478,0.267,5.79,Red Soil
1.498,1.366,0.688,18.634,26.247,0.215,5.75,Red Soil
1.054,1.054,1.294,23.45,32.989,0.421,6.491,Red Soil
0.59,1.089,1.543,26.054,31.675,0.319,6.668,Red Soil
1.314,0.833,0.865,22.141,29.267,0.542,6.005,Red Soil
0.956,0.783,1.027,20.235,26.812,0.417,5.788,Red Soil
1.493,1.171,1.542,25.543,29.736,0.471,6.067,Red Soil
1.057,0.948,0.655,23.005,30.168,0.281,6.666,Red Soil
0.736,1.306,0.787,17.947,26.44,0.326,6.33,Red Soil
1.282,0.987,1.079,22.587,32.935,0.299,6.624,Red Soil
0.815,1.147,1.458,26.697,28.607,0.533,6.016,Red Soil
1.399,0.71,1.03,19.913,27.372,0.398,6.518,Red Soil
1.086,1.057,0.731,24.267,31.217,0.289,6.466,Red Soil
0.934,1.482,1.105,21.227,30.89,0.52,5.992,Red Soil
1.377,0.726,1.309,26.05,34.127,0.47,6.487,Red Soil
0.778,0.978,0.925,22.76,29.895,0.335,6.382,Red Soil
1.324,1.298,0.798,25.003,32.993,0.422,6.023,Red Soil
0.932,1.444,0.972,23.423,26.537,0.283,6.556,Red Soil
1.438,0.859,1.434,20.111,29.971,0.498,6.247,Red Soil
1.022,1.119,1.271,26.564,33.413,0.514,6.308,Red Soil
0.767,1.366,1.063,24.098,27.345,0.467,6.692,Red Soil
1.358,0.773,0.735,18.451,32.835,0.367,6.496,Red Soil
1.089,1.437,1.228,21.932,30.719,0.331,5.948,Red Soil
1.355,0.725,1.374,25.859,28.031,0.538,6.688,Red Soil
0.913,1.051,0.642,23.314,31.887,0.352,5.794,Red Soil
1.498,0.824,1.152,19.597,27.58,0.291,6.328,Red Soil
1.007,1.223,1.488,24.775,33.091,0.501,6.612,Red Soil
0.678,0.89,0.863,22.468,29.683,0.415,6.269,Red Soil
1.409,1.354,0.911,26.255,34.634,0.274,6.43,Red Soil
0.789,1.249,0.755,22.931,26.294,0.457,6.098,Red Soil
1.349,0.7,1.29,18.356,31.546,0.505,6.671,Red Soil
1.062,1.483,1.437,21.465,27.951,0.239,6.494,Red Soil
0.726,1.388,1.097,25.151,29.246,0.355,6.036,Red Soil
1.267,1.227,0.828,23.788,32.883,0.261,5.936,Red Soil
0.852,0.764,1.006,20.692,28.34,0.491,6.356,Red Soil
1.584,0.99,1.263,24.482,29.736,0.317,6.44,Red Soil
1.109,1.441,1.552,23.125,30.073,0.345,6.257,Red Soil
0.697,0.873,0.709,26.343,32.34,0.497,6.56,Red Soil
1.312,1.224,1.428,24.669,29.957,0.479,5.897,Red Soil
0.905,0.697,0.935,20.384,26.732,0.396,5.722,Red Soil
1.54,1.506,1.59,18.267,25.845,0.547,6.256,Red Soil
1.043,0.952,1.372,25.013,30.564,0.542,6.384,Red Soil
0.637,1.284,0.986,22.702,27.829,0.332,5.825,Red Soil
1.472,0.763,1.237,26.458,32.148,0.257,6.145,Red Soil
0.834,1.561,1.473,19.41,26.991,0.429,5.908,Red Soil
1.199,1.492,1.582,23.893,31.401,0.499,6.372,Red Soil
1.049,0.736,0.84,21.324,28.965,0.364,6.618,Red Soil
1.569,1.2,0.565,24.31,29.322,0.228,5.875,Red Soil
0.705,1.007,0.702,17.782,25.512,0.356,6.446,Red Soil
1.136,0.618,1.04,25.698,32.754,0.57,6.665,Red Soil
0.813,1.272,1.254,21.971,26.478,0.267,5.79,Red Soil
1.498,1.366,0.688,18.634,26.247,0.215,5.75,Red Soil
1.054,1.054,1.294,23.45,32.989,0.421,6.491,Red Soil
0.59,1.089,1.543,26.054,31.675,0.319,6.668,Red Soil
1.314,0.833,0.865,22.141,29.267,0.542,6.005,Red Soil
0.956,0.783,1.027,20.235,26.812,0.417,5.788,Red Soil
1.493,1.171,1.542,25.543,29.736,0.471,6.067,Red Soil
1.057,0.948,0.655,23.005,30.168,0.281,6.666,Red Soil
0.736,1.306,0.787,17.947,26.44,0.326,6.33,Red Soil
1.282,0.987,1.079,22.587,32.935,0.299,6.624,Red Soil
0.815,1.147,1.458,26.697,28.607,0.533,6.016,Red Soil
1.70256707,0.821804451,0.952742781,17.71033965,27.44477116,0.869326804,6.525557829,Desert Soil
0.545110216,1.287716232,1.233488389,12.82374258,31.65207755,0.894280057,7.047559667,Desert Soil
46.44441048,16.89728029,50.16779813,126.8367205,57.6315569,0.709022515,6.541766074,Alluvial Soil
0.576749238,0.943226142,1.147774149,28.75717961,27.08141845,0.614812424,7.663729723,Desert Soil
0.754427642,0.698730515,1.428182777,16.04700115,30.39621111,0.916243111,7.88584074,Red Soil
1.207732094,0.568521806,0.967162676,28.28465968,32.00190182,1.08740338,6.911708317,Desert Soil
1.124598253,1.542244587,1.046667857,23.62399906,28.62624148,0.258210318,5.86712124,Red Soil
1.102734554,0.656281711,0.956033207,20.77231743,23.34402649,1.205572027,6.958101626,Desert Soil
1.242540123,0.717958407,1.622836402,26.87364615,29.56954389,0.556153658,5.528603922,Red Soil
26.33911939,12.65831261,22.38617744,50.9877036,18.66598142,0.319638442,6.605476434,Loamy Soil
40.25399814,20.1974682,30.69174795,56.12828461,25.04006051,0.380705174,6.581941169,Loamy Soil
0.906199226,0.986074927,1.348354561,11.26839748,29.40373708,0.836211169,6.988954482,Desert Soil
29.52246162,15.71393887,23.78382374,58.87557227,23.10071951,0.287083082,6.846090943,Loamy Soil
0.995448341,0.684498176,1.783043458,14.35104962,27.64423219,0.578582974,7.010049165,Desert Soil
33.59215288,18.76672269,26.21584058,57.29845401,22.89818309,0.30820389,7.638621519,Loamy Soil
0.771459984,1.042487489,1.308299574,18.15925237,34.95060501,1.032210079,7.926772457,Alluvial Soil
1.33814761,0.919205982,1.465531787,13.28319866,19.80303399,1.448932013,6.395015322,Desert Soil
20.06859422,11.58829018,20.54527163,51.12370279,20.8895235,0.206011963,5.855286412,Alluvial Soil
0.922088896,1.150804739,0.985621716,27.12867047,35.02952145,0.392068201,6.664640349,Red Soil
15.52997324,31.95033053,25.72933622,54.99473662,24.558936,0.385979444,7.362794333,Alluvial Soil
1.069204134,1.307959791,0.748045023,22.37748159,32.75112261,0.677426191,6.247015322,Desert Soil
0.523154068,1.328459443,1.483358004,20.05000683,36.18835904,0.635292676,7.265668887,Desert Soil
36.69950726,18.37064194,42.36673766,81.11719975,25.4183893,0.348498344,6.896678,Alluvial Soil
13.16373984,44.29153661,29.53205888,56.34689329,24.13287544,0.366147771,6.300328277,Loamy Soil
1.390974765,1.506020169,1.402722866,25.18318269,24.91681464,0.485466983,5.851580615,Red Soil
0.46669352,1.272500285,1.633549074,20.76085346,37.20717889,0.996565689,7.813741357,Alluvial Soil
14.99036327,36.57623559,31.41176255,61.56468039,30.57045762,0.365667389,6.681046388,Alluvial Soil
29.41732443,14.95149392,23.9905679,56.25077034,24.0039198,0.328632564,6.743095242,Loamy Soil
0.763678907,1.019897503,1.422462426,14.85913004,31.65345378,0.726086834,7.142957987,Desert Soil
11.77840585,26.66117258,24.20139262,60.36093247,27.06797091,0.317205253,5.92411243,Alluvial Soil
39.03693562,19.59804147,31.71490454,58.82519573,29.72615979,0.292922206,7.938570925,Loamy Soil
1.681775859,1.027580628,1.214160226,12.38525095,23.42245865,0.482516726,7.507973571,Desert Soil
41.62678462,15.68470035,32.13501116,58.11913007,24.30445309,0.373014917,7.247592502,Loamy Soil
0.847540105,0.715750489,1.179936256,14.02239726,31.53729334,1.315211698,7.116180456,Desert Soil
13.13609852,25.62504018,25.8006245,51.03029239,20.95334502,0.316768415,6.867212357,Loamy Soil
33.22842679,19.25993664,26.11013352,66.19562273,26.02701076,0.32027617,6.870715896,Loamy Soil
49.84588038,20.20614633,53.88941177,94.88033156,41.64405604,0.222531443,5.978774671,Alluvial Soil
50.73359075,14.5646828,53.46841159,80.8022297,42.7685398,0.545711075,6.219964192,Alluvial Soil
0.995796725,1.148084178,1.185132277,27.60537765,30.95942358,0.373546324,5.859801033,Red Soil
24.2838159,12.07222822,20.6057547,48.05521914,18.20666766,0.348144912,7.409334896,Loamy Soil
1.351158241,1.470281428,1.015960062,18.44388239,28.29393611,0.740161239,7.605098448,Desert Soil
15.73868386,12.20335067,14.57487909,55.51423236,22.65927967,0.084843435,8.058780797,Alluvial Soil
1.045302489,1.353073534,0.737851871,23.94656974,35.33555571,0.718168277,6.534534798,Red Soil
1.14874162,1.041656534,1.74109083,15.83729951,28.93450145,0.86234581,6.777953709,Desert Soil
52.77346017,22.22089415,46.22516592,76.57360417,42.86942039,0.767305649,6.000879965,Alluvial Soil
21.97010268,11.24810821,20.6243631,57.66412993,22.22224959,0.274532863,6.067901659,Alluvial Soil
1.081124942,0.746509531,1.285971006,25.25726621,36.26455395,0.2597638,5.884587892,Red Soil
36.22156231,17.93100121,30.70250433,53.20161759,23.21571993,0.413248027,6.486308454,Loamy Soil
27.18625482,13.62769495,26.31456951,60.5306807,30.45989899,0.304817381,5.716330753,Alluvial Soil
49.23374095,17.09371602,37.02558032,76.5902261,42.86875333,0.726829097,6.329680305,Alluvial Soil
13.29155679,25.1228843,26.62855217,55.66017134,29.98158069,0.338293285,5.962768383,Alluvial Soil
43.56742695,14.80126677,46.68402222,83.46411907,35.48057045,0.390101617,6.680126472,Alluvial Soil
1.351216478,0.882594618,1.367397422,27.22461414,31.07622314,0.481389813,5.486924686,Red Soil
1.526267842,1.228044951,1.540958117,21.52607985,26.97254937,0.48722368,7.40582388,Red Soil
1.22343355,0.550474395,1.218971522,23.70397206,39.53061332,0.754339488,7.092763123,Desert Soil
54.97533139,19.05444179,53.0861701,97.72124824,34.81077465,0.487992523,6.62323147,Alluvial Soil
1.22870871,1.611204507,1.778646183,28.48141644,20.16818745,0.508845922,5.514299374,Red Soil
0.753773362,0.535198069,1.49442006,12.57778403,21.93674599,0.501439328,7.787494298,Desert Soil
1.311426651,1.473247958,1.463965796,26.46168578,24.82359802,0.498812817,5.590499287,Red Soil
1.059461678,0.978090759,1.294584155,18.37293084,25.74757768,0.37012269,6.098084154,Red Soil
45.88807462,19.35008065,44.2750477,65.55005023,45.41675137,0.716281096,6.128749831,Alluvial Soil
15.97452519,36.89706053,25.00620451,53.17063383,22.30617935,0.314749527,6.946178141,Loamy Soil
46.19981726,20.47760034,57.70391226,103.0380374,43.18847438,0.513355962,6.669551941,Alluvial Soil
41.96255321,18.4359748,32.03373156,61.49156885,23.16554319,0.36258376,6.840416497,Loamy Soil
0.976299395,1.574476507,1.528730289,20.44441852,38.13783872,0.937051622,7.865842647,Desert Soil
31.51466551,18.91447842,25.07035852,61.83343225,23.69276046,0.323749881,7.801603989,Loamy Soil
45.58079838,17.11708182,45.97084279,78.30750656,38.79804272,0.689639526,5.743534056,Alluvial Soil
15.89008963,28.73751867,23.51143579,61.27066298,21.10209775,0.3046129,7.35190577,Loamy Soil
40.75999269,14.26842435,33.3754193,56.30274178,28.6668855,0.349350855,7.205851999,Loamy Soil
27.0257614,13.56734357,25.79206241,51.70630961,23.73315865,0.362638098,7.332556375,Loamy Soil
49.65902775,12.30350631,47.87560338,62.7355132,31.09734908,0.421143201,6.794464505,Alluvial Soil
0.703357062,0.85047317,1.575795479,12.19704322,24.08624004,0.572025586,7.096189044,Desert Soil
43.09253428,18.43931007,47.62831531,71.75998559,37.11541142,0.52877382,6.189885402,Alluvial Soil
13.05276747,41.47523521,43.84292135,75.77559209,28.3322942,0.309168197,6.53845007,Alluvial Soil
1.483013751,1.614445156,1.312093151,16.66356084,38.68907477,0.842731707,6.833221607,Desert Soil
13.46384471,25.65823505,26.02013374,57.23284486,21.74194553,0.363015576,7.158754832,Loamy Soil
0.709596053,1.748752387,1.269882307,9.679516187,22.21073688,0.594669735,6.630081137,Desert Soil
28.20187237,12.677078,25.57200922,61.03131051,31.65150528,0.314688017,6.142787815,Loamy Soil
1.735918725,0.702829553,1.647238265,9.451992161,22.139317,0.728136528,6.490979816,Desert Soil
1.235223318,1.266581015,1.262872755,22.75171742,41.72927608,1.111532399,6.654027975,Desert Soil
17.58080991,11.70558383,16.65720326,56.49832929,17.55977359,0.065478887,7.297085681,Alluvial Soil
27.14155768,13.51597671,26.06405625,59.13355148,27.34693433,0.243714114,5.525367744,Alluvial Soil
1.266065307,0.726716146,1.401129007,23.55990221,27.35179838,0.502592542,7.257398302,Red Soil
14.19822605,28.28562892,18.25997102,52.91623337,18.50320315,0.315518341,7.277958505,Loamy Soil
14.86589319,29.41263938,23.3568615,56.17964291,23.98247228,0.395150462,6.848106946,Loamy Soil
1.294596971,0.8728754,1.458627833,10.63873296,26.41237642,1.168780837,6.92302852,Desert Soil
1.089125609,1.02673357,0.728924807,23.02226498,30.07550947,0.297330043,7.019436272,Red Soil
1.347086038,0.767693001,1.47897334,25.15933931,33.39267381,0.488178125,6.313240912,Red Soil
1.369914205,0.916922737,1.275536463,20.13575881,29.31097841,0.472722936,5.900896774,Red Soil
1.848403707,0.711308929,1.550634738,10.2098833,22.88656913,0.659152399,6.623493613,Desert Soil
0.578101228,1.554019121,0.813550522,11.52247143,16.00643683,0.72450933,6.947805825,Loamy Soil
0.852191172,1.071919524,1.329558713,14.88028508,28.44671826,0.651520417,6.958776799,Desert Soil
0.476201735,1.087147947,1.419452816,14.72597582,30.12866281,0.778690483,6.593375231,Desert Soil
14.21087151,19.37739524,19.86764313,66.37344363,21.85798217,0.43427735,6.988248254,Loamy Soil
1.305122525,0.990781916,1.486251126,18.24164962,34.50824719,1.174677628,7.242610354,Desert Soil
0.656519872,1.386654709,0.919428095,21.9573644,35.96599016,0.298599232,5.677458405,Red Soil
0.788386839,0.973672421,1.313212324,20.45215973,31.58102068,0.294730287,6.162125345,Red Soil
1.460150534,1.434444093,1.320672764,16.8500009,30.85744277,0.758388407,7.949066645,Desert Soil
19.29728168,45.16974237,33.73253517,74.04811343,40.3256357,0.70867179,6.252664428,Alluvial Soil
29.00051575,16.36619445,23.77391988,46.68655545,20.33355004,0.320123769,7.308240959,Loamy Soil
12.35460763,39.62689196,37.54023631,70.46010704,31.54458951,0.175872553,6.253602804,Alluvial Soil
1.634992258,1.133797929,0.897838637,27.6415854,38.9473905,0.183885924,6.338804488,Red Soil
26.52156363,14.63104031,24.20865911,48.80198265,20.36733966,0.349694422,6.434684239,Loamy Soil
25.40783104,16.19090449,24.58879391,58.06948066,21.82333885,0.373554414,6.76532491,Loamy Soil
1.381010232,1.197836083,1.389552521,27.29396828,29.02119909,0.484669022,5.960415419,Red Soil
25.4368415,12.1523795,24.45677013,63.47087269,26.1875288,0.447293427,7.15405112,Alluvial Soil
33.35354556,17.15588087,29.40354368,59.47611166,23.80428628,0.365743529,7.024456641,Loamy Soil
1.314875446,1.162843194,1.08841264,24.17670605,32.77982108,0.304474164,7.121631802,Red Soil
49.02214039,14.11849886,56.94302305,102.1296008,37.23642419,0.537274714,6.556282935,Alluvial Soil
0.664759518,0.927206347,1.272091599,26.31215123,30.04445847,0.569402306,6.347681574,Desert Soil
29.62026672,16.62083691,23.06274871,56.61557654,25.22527354,0.354459282,6.648909875,Loamy Soil
0.519348273,1.161155053,1.783806269,10.38837343,25.76537218,0.482494282,6.542074602,Desert Soil
1.257614354,1.446019787,1.010967892,21.95088423,31.44032479,0.391718067,6.92544272,Red Soil
1.792568055,0.461059723,1.523717413,8.969289727,22.36255715,0.639192749,7.932799829,Desert Soil
1.22733259,0.906501785,1.645802166,11.89459217,25.74662123,1.03855227,7.536427273,Desert Soil
1.10649311,1.429138193,0.636647661,27.84839938,32.84992513,0.706613181,6.014213535,Red Soil
33.29800415,16.30015057,23.18611104,50.76783267,23.27300021,0.370026128,7.718189239,Loamy Soil
1.345224964,1.287060036,0.780946138,29.61305292,33.10786683,0.565146946,7.023416114,Red Soil
17.47257038,52.52654874,50.25977464,85.17261041,37.46313521,0.757527266,6.541356387,Alluvial Soil
1.139427863,0.669253575,0.892773683,18.38684658,25.92806732,0.402754908,6.312601364,Red Soil
29.66126043,17.43965754,26.36650003,55.75689477,23.98680458,0.276197919,6.811082912,Loamy Soil
12.93973861,46.5482888,45.72153495,76.64589474,30.36933264,0.377369912,6.450845529,Alluvial Soil
0.837577081,0.560396668,1.388878871,14.05922846,32.43835006,1.149672863,7.887075845,Desert Soil
42.48555091,15.78646633,46.9250058,77.15066472,31.75773301,0.453975419,6.59004946,Alluvial Soil
1.133866837,1.13389473,1.190752078,24.26370541,31.83085337,0.437794803,5.671859754,Red Soil
41.78513382,22.59417236,30.55543017,59.33288184,27.86444877,0.329088881,7.098681647,Loamy Soil
11.65067251,18.57337162,20.18654896,55.21915949,22.56124212,0.219908378,6.057950255,Alluvial Soil
36.86656507,15.87481768,25.27050299,52.21955112,24.88898544,0.250757602,7.422813003,Loamy Soil
35.96381638,16.58094395,30.120589,59.81223086,20.75696066,0.421035045,6.226398878,Loamy Soil
36.19207568,19.73853741,32.74626811,56.47117149,24.23112682,0.264865121,6.750471858,Loamy Soil
1.123229487,1.293913732,1.011004217,11.46963146,17.92951192,0.620333945,7.032314827,Desert Soil
1.051275145,1.319660476,1.691970178,20.45626688,39.89614447,0.578942127,7.309131206,Desert Soil
23.20314146,10.49630098,19.97786808,49.50625302,17.04281478,0.222489736,6.365893389,Loamy Soil
1.000523375,1.122296779,1.043781514,15.75706667,29.20850674,0.476100066,4.906073824,Red Soil
28.52354702,12.11649752,20.4058836,53.11796747,17.70847416,0.300366649,6.817135627,Loamy Soil
1.419349285,1.554537255,1.261588124,25.84397773,29.20084209,0.375875172,6.083166361,Red Soil
0.931319025,1.282803718,1.106939976,17.67145779,23.50548131,0.633483082,6.431568104,Red Soil
19.89647918,12.8615752,16.40250392,62.37089413,21.68760253,0.261711062,7.300942961,Alluvial Soil
0.558816083,1.180715762,1.271495546,14.23397508,27.8870637,0.90708387,7.97318062,Desert Soil
0.962495911,0.777212123,1.53659569,12.65210652,23.9314478,1.177562854,6.806847849,Desert Soil
17.45344198,22.26531626,18.99187226,66.58904835,25.95534908,0.662959232,7.243045683,Alluvial Soil
1.301298975,1.565139477,1.034152245,16.6207545,44.48019835,0.862571196,6.89466866,Desert Soil
0.600983454,1.244434251,1.736086489,20.53685367,31.90635621,1.55983792,7.051606426,Desert Soil
1.684760539,1.230160851,1.618623252,17.93477258,24.36098024,1.506374759,6.519511296,Desert Soil
1.435685691,1.599095998,1.453729007,28.04475989,21.69920662,0.468864744,5.373498528,Red Soil
49.31369868,17.76451937,39.29412819,83.22106161,39.18811244,0.650387275,6.538409744,Alluvial Soil
29.22049228,13.57394306,23.39846001,50.50441688,22.69931302,0.360932524,7.030435978,Desert Soil
0.783851416,1.694901694,1.446765866,25.74847995,28.00455641,0.664799436,6.117832154,Desert Soil
25.03839169,12.06405219,20.14267691,49.10980964,19.40572511,0.242990031,7.613097012,Loamy Soil
28.47613554,13.07821261,18.84392444,47.09498287,20.27977871,0.241990205,7.313138597,Loamy Soil
12.22987385,29.00135915,20.12501055,51.850433,19.01194356,0.352659844,6.330092873,Loamy Soil
1.18924643,0.862953807,1.010385962,21.35829709,28.3731286,0.367850698,5.615743672,Red Soil
1.330001379,1.446989708,1.524829316,26.3589092,22.9721084,0.526731011,4.912027106,Red Soil
32.66976874,15.45831431,26.9266059,49.66213333,21.06361734,0.352163463,8.049123779,Loamy Soil
0.793282805,1.718136829,1.406462542,16.79593629,35.61266391,0.880164307,7.958848073,Desert Soil
35.19160017,14.59750497,29.34139854,51.34135836,24.03294549,0.305360957,7.799935247,Loamy Soil
0.674549378,0.782198874,0.941189126,24.02984857,49.21269335,0.603058356,7.694189491,Desert Soil
26.66986609,12.96203983,20.24575646,47.18128618,18.83336059,0.338234633,7.00682908,Loamy Soil
31.39436874,13.79127298,26.08518539,53.30189226,23.92045299,0.361100337,6.65089316,Desert Soil
1.082191213,1.499192653,1.192130859,29.35698126,33.60002657,0.393548257,5.926782901,Red Soil
47.08341082,14.10202246,46.96576539,71.74665493,27.89519265,0.398244189,6.317073407,Alluvial Soil
28.03876893,11.96363294,29.15225249,61.47729722,29.45157701,0.310358617,6.989940513,Alluvial Soil
1.19942686,1.044088828,1.637994064,23.64665259,34.6710715,1.24280897,7.461440844,Desert Soil
1.231948788,0.897828606,1.333117453,13.66271248,18.38473982,0.672387955,6.827201678,Desert Soil
18.30413246,12.23295625,16.05656124,56.23510628,20.50402952,0.181008796,8.536460483,Alluvial Soil
36.25698211,19.05198234,29.71955766,62.15945014,24.83890972,0.339578236,6.828651313,Loamy Soil
1.005645576,0.934521721,1.303969593,30.73005246,37.87273426,0.650664308,6.673329973,Red Soil
0.720485319,1.177015993,0.568573556,24.04871611,32.03322883,0.530409816,5.870743815,Red Soil
48.31382442,15.73702829,45.4551144,78.38725131,29.64172506,0.383342209,6.32174927,Alluvial Soil
26.06995974,12.09327918,22.60964357,51.93531708,16.17498094,0.363669061,6.45412723,Loamy Soil
20.23724659,50.69981352,45.08785581,81.05554124,45.70778961,0.610172831,6.567166653,Alluvial Soil
1.465020717,0.905815095,1.316764725,23.01879921,27.76410815,0.478461286,5.876826303,Alluvial Soil
37.30187775,13.85113466,43.03513788,69.89627277,32.78734,0.021780906,2.589623687,Alluvial Soil
0.964636207,0.966527637,1.529500914,28.4968776,34.40827133,0.577946429,7.198209393,Red Soil
12.16253346,54.4371719,49.32257256,92.49694576,33.01947402,0.412945378,6.914252903,Alluvial Soil
1.211471608,0.781113968,1.508743934,25.04836574,35.75491746,0.705991045,7.17241902,Red Soil
52.51032307,21.13850086,51.75436616,68.19018039,44.68028396,0.627894304,5.938561789,Alluvial Soil
1.430911928,0.672347688,1.513038814,26.33471845,29.12940842,0.486111581,7.154139032,Red Soil
0.584771109,1.2780763,1.846736334,9.436137315,28.50116699,0.557147063,7.164988585,Desert Soil
44.99286903,20.16822383,49.16022127,70.79868394,46.82897735,0.73771177,5.633838156,Alluvial Soil
1.117434755,0.789226228,1.156349958,16.82229243,28.2999225,0.423142557,5.561638804,Red Soil
1.893743814,0.707710737,1.516053946,17.65217094,20.13968924,0.443164464,6.574660726,Desert Soil
0.52660057,1.640233123,1.394734236,21.9232458,48.70620835,0.575922794,7.833937743,Red Soil
17.1373042,13.57411444,16.38357297,61.92253468,18.92856947,0.189104972,7.033476097,Alluvial Soil
41.35892999,11.65759538,42.13550208,80.52587627,28.04894584,0.35014819,5.980706683,Alluvial Soil
35.89329292,15.52482727,27.39357333,56.32079766,22.12514024,0.302036443,7.65259254,Loamy Soil
41.79489166,13.63991238,42.58371704,77.44690209,31.51648453,0.347302586,6.983878297,Alluvial Soil
50.65440902,13.88522769,50.51897949,79.4161812,28.53436812,0.489268799,6.478593593,Alluvial Soil
20.26538157,36.23998819,26.3302686,58.27203334,25.2048483,0.263744842,6.463111919,Loamy Soil
34.31324361,20.64049966,29.03971705,61.39876073,26.45801115,0.322555625,7.704956196,Loamy Soil
1.220777899,0.503619842,1.815647679,28.0103955,42.1430237,1.054946262,6.438143991,Desert Soil
0.958191739,0.996052695,1.304560856,18.90539905,27.30886048,0.339634766,6.307938312,Red Soil
0.857015352,1.039082929,1.06255184,28.2002062,34.69073254,0.389645344,6.748143556,Red Soil
47.15467159,12.50587637,39.97992754,75.79283034,28.07418844,0.334279334,6.339643872,Alluvial Soil
0.983088559,0.878906782,1.398471281,17.43618018,31.04601441,1.027188376,6.853161069,Alluvial Soil
1.435611214,1.074331724,1.073695383,26.34294951,29.03209772,0.276095991,5.68092257,Red Soil
1.223186995,0.885762557,1.215491427,23.13095472,34.52596122,0.318249578,5.775795118,Loamy Soil
39.07718639,16.32770327,58.13164348,115.8236037,41.795587,0.747707952,6.486844253,Alluvial Soil
36.15687752,18.12209797,37.06451249,84.01086189,35.03292135,0.245322537,5.847783116,Alluvial Soil
0.931688721,1.508548894,1.41590009,19.72146282,42.38647621,0.987922494,7.728601881,Desert Soil
1.461111915,1.397344383,1.851562432,20.99210521,38.08894855,0.923000965,7.007775862,Desert Soil
42.69945333,11.76179755,43.45227228,66.91192288,31.17840154,0.213866904,4.196208333,Alluvial Soil
29.2243255,13.20611426,24.24168422,50.84709256,21.54207287,0.305292049,5.934214402,Loamy Soil
0.898043308,0.934108294,1.60883695,23.69314383,38.67435011,0.625828552,6.9954214,Desert Soil
35.5522449,15.64161844,28.98563401,59.63162204,26.66018711,0.365975704,6.819961073,Loamy Soil
0.872137641,1.043828462,1.371724805,26.85139167,28.40348943,0.280635227,6.593214888,Red Soil
37.87630254,19.61737439,27.46605786,63.63360857,26.78612732,0.345285934,7.509126224,Red Soil
20.92162044,11.54854926,20.39485082,46.84042436,22.90411305,0.289228646,5.307270323,Alluvial Soil
0.974130336,1.569668068,1.49817919,17.86899149,42.55848616,1.025926584,7.30191778,Desert Soil
11.05051415,20.16183472,19.39396552,48.3561069,21.34482866,0.211460942,5.639636028,Alluvial Soil
0.659995864,0.640714291,1.056770012,19.22292373,32.43582758,0.768648373,6.730806414,Desert Soil
35.54515368,14.60711823,28.25776226,56.45528523,23.76540053,0.315397931,7.190153054,Alluvial Soil
38.65886724,18.83111886,29.46156265,62.86099492,25.73801615,0.324483844,7.070598092,Loamy Soil
0.658820423,0.736924084,1.669101978,10.7915456,16.44712842,0.649655179,6.868477512,Desert Soil
33.09692736,15.99314741,24.38731015,59.93202764,23.15944753,0.329315469,7.584211258,Loamy Soil
